carriers,locs,techs,timesteps,carrier_prod
biomass,Mainkofen,supply_biomass,2023-01-16 09:00:00,1389.5625
biomass,Mainkofen,supply_biomass,2023-01-16 10:00:00,1299.2875
biomass,Mainkofen,supply_biomass,2023-01-16 11:00:00,1273.7438
biomass,Mainkofen,supply_biomass,2023-01-16 12:00:00,1222.3188
biomass,Mainkofen,supply_biomass,2023-01-16 13:00:00,1213.1313
biomass,Mainkofen,supply_biomass,2023-01-16 14:00:00,1213.0813
biomass,Mainkofen,supply_biomass,2023-01-16 15:00:00,1199.0625
biomass,Mainkofen,supply_biomass,2023-01-16 16:00:00,1156.0
biomass,Mainkofen,supply_biomass,2023-01-16 17:00:00,1113.3438
biomass,Mainkofen,supply_biomass,2023-01-16 18:00:00,1067.2125
biomass,Mainkofen,supply_biomass,2023-01-16 19:00:00,1026.1187
biomass,Mainkofen,supply_biomass,2023-01-16 20:00:00,1009.125
biomass,Mainkofen,supply_biomass,2023-01-16 21:00:00,951.4
biomass,Mainkofen,supply_biomass,2023-01-16 22:00:00,919.675
